UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,temp_diff,power,wear_rate,energy_proxy,temp_ratio,actual,predicted
1562,L48741,L,298.2,308.4,1388,53.8,137,0,0,0,0,0,10.199999999999989,74674.4,0.0986321094312455,10230392.8,1.03420523138833,0,1
554,M15413,M,297.4,309.3,1564,36.0,126,0,0,0,0,0,11.900000000000034,56304.0,0.0805111821086261,7094304.0,1.0400134498991258,0,0
7010,L54189,L,300.5,310.5,1536,36.2,12,0,0,0,0,0,10.0,55603.2,0.0078074170461938,667238.4,1.033277870216306,0,0
1684,M16543,M,297.9,307.4,1403,52.8,0,0,0,0,0,0,9.5,74078.4,0.0,0.0,1.0318898959382343,0,1
9809,M24668,M,298.2,309.0,1441,44.2,147,0,0,0,0,0,10.800000000000011,63692.2,0.1019417475728155,9362753.4,1.0362173038229376,0,1
406,L47585,L,297.3,308.5,1350,57.6,186,0,0,0,0,0,11.199999999999989,77760.0,0.1376757957068838,14463360.0,1.0376723847965017,0,1
1726,M16585,M,298.3,307.8,1392,50.4,101,0,0,0,0,0,9.5,70156.8,0.072505384063173,7085836.800000001,1.0318471337579618,0,1
5183,L52362,L,303.9,313.1,1586,31.9,108,0,0,0,0,0,9.200000000000044,50593.4,0.0680529300567107,5464087.199999999,1.0302731161566303,0,0
7968,M22827,M,301.0,312.2,1629,32.6,69,0,0,0,0,0,11.199999999999989,53105.4,0.0423312883435582,3664272.6,1.0372093023255813,0,0
8743,L55922,L,297.4,308.8,1467,39.0,128,0,0,0,0,0,11.400000000000034,57213.0,0.0871934604904632,7323264.0,1.0383322125084062,0,0
6370,H35783,H,300.0,309.5,1781,24.9,70,0,0,0,0,0,9.5,44346.9,0.0392817059483726,3104282.9999999995,1.0316666666666667,0,0
9147,L56326,L,297.6,308.6,1528,40.0,123,0,0,0,0,0,11.0,61120.0,0.0804447351209941,7517760.0,1.0369623655913978,0,0
3660,M18519,M,302.2,311.5,1734,25.0,116,0,0,0,0,0,9.300000000000011,43350.0,0.0668587896253602,5028600.0,1.0307743216412972,0,0
6591,L53770,L,301.7,310.7,1763,25.9,3,0,0,0,0,0,9.0,45661.7,0.0017006802721088,136985.09999999998,1.0298309579052038,0,0
1428,L48607,L,298.7,309.8,1394,40.3,11,0,0,0,0,0,11.100000000000025,56178.2,0.0078853046594982,617960.2,1.037161031134918,0,0
5437,M20296,M,302.9,312.5,1679,30.9,79,0,0,0,0,0,9.600000000000025,51881.1,0.0470238095238095,4098606.9,1.031693628260152,0,0
2485,H31898,H,298.8,308.6,1524,37.7,170,0,0,0,0,0,9.800000000000011,57454.8,0.1114754098360655,9767316.0,1.0327978580990629,0,1
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,10.300000000000011,62384.4,0.0903808908973531,8733816.0,1.0345289976533691,0,0
9665,L56844,L,299.1,310.2,1317,54.8,231,0,0,0,1,0,11.099999999999966,72171.59999999999,0.1752655538694992,16671639.599999998,1.037111334002006,1,1
4633,M19492,M,302.9,311.2,1330,53.7,200,0,1,0,0,0,8.300000000000011,71421.0,0.1502629601803155,14284200.0,1.0274017827665898,1,1
867,L48046,L,295.9,306.6,1678,26.7,53,0,0,0,0,0,10.700000000000044,44802.6,0.0315664085765336,2374537.8,1.036160865157148,0,0
6284,L53463,L,301.3,310.8,1719,29.5,62,0,0,0,0,0,9.5,50710.5,0.0360465116279069,3144051.0,1.0315300365084634,0,0
7018,M21877,M,300.7,310.6,1474,37.0,33,0,0,0,0,0,9.900000000000034,54538.0,0.0223728813559322,1799754.0,1.0329231792484204,0,0
1232,M16091,M,297.2,308.5,1604,40.7,158,0,0,0,0,0,11.300000000000011,65282.8,0.0984423676012461,10314682.4,1.038021534320323,0,1
1291,L48470,L,298.6,309.7,1429,45.8,113,0,0,0,0,0,11.099999999999966,65448.2,0.079020979020979,7395646.6,1.037173476222371,0,0
6743,H36156,H,301.7,311.2,1639,30.0,161,0,0,0,0,0,9.5,49170.0,0.098170731707317,7916370.0,1.0314882333443818,0,0
1850,L49029,L,297.7,307.2,1668,32.7,31,0,0,0,0,0,9.5,54543.600000000006,0.0185739964050329,1690851.6,1.0319113201209271,0,0
1020,L48199,L,296.3,307.3,1398,52.7,31,0,0,0,0,0,11.0,73674.6,0.0221586847748391,2283912.6,1.0371245359433008,0,1
3965,M18824,M,302.3,311.6,1668,33.2,52,0,0,0,0,0,9.300000000000011,55377.600000000006,0.0311563810665068,2879635.2,1.0307641415812108,0,0
352,M15211,M,297.6,308.4,1611,31.0,48,0,0,0,0,0,10.799999999999956,49941.0,0.0297766749379652,2397168.0,1.036290322580645,0,0
5040,H34453,H,304.1,313.3,1689,32.5,134,0,0,0,0,0,9.199999999999989,54892.5,0.0792899408284023,7355595.0,1.030253206182177,0,0
7056,L54235,L,300.8,310.6,1663,30.6,139,0,0,0,0,0,9.800000000000011,50887.8,0.0835336538461538,7073404.2,1.0325797872340423,0,0
8108,H37521,H,300.3,311.9,1390,49.0,194,0,0,0,0,0,11.599999999999966,68110.0,0.1394680086268871,13213340.0,1.0386280386280384,0,1
4618,M19477,M,303.1,311.4,1831,23.3,161,0,0,0,0,0,8.299999999999955,42662.3,0.0878820960698689,6868630.300000001,1.0273837017485976,0,0
586,L47765,L,297.6,309.5,2001,20.5,220,0,0,0,0,0,11.899999999999975,41020.5,0.1098901098901098,9024510.0,1.0399865591397848,0,1
6300,L53479,L,301.2,310.6,1385,49.2,105,0,0,0,0,0,9.400000000000034,68142.0,0.0757575757575757,7154910.0,1.0312084993359896,0,0
2138,L49317,L,299.3,308.9,1623,31.1,152,0,0,0,0,0,9.599999999999966,50475.3,0.0935960591133004,7672245.600000001,1.032074841296358,0,0
9318,L56497,L,298.5,309.5,1480,38.1,160,0,0,0,0,0,11.0,56388.0,0.1080351114112086,9022080.0,1.036850921273032,0,1
9925,M24784,M,298.5,308.6,1384,54.4,44,0,0,0,0,0,10.100000000000025,75289.59999999999,0.031768953068592,3312742.3999999994,1.0338358458961474,0,1
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,10.0,72105.5,0.0027662517289073,288422.0,1.033467202141901,0,1
556,M15415,M,297.4,309.4,1539,42.2,134,0,0,0,0,0,12.0,64945.8,0.087012987012987,8702737.200000001,1.0403496973772697,0,0
3475,M18334,M,301.9,310.8,1557,35.3,65,0,0,0,0,0,8.900000000000034,54962.1,0.0417201540436457,3572536.5,1.029479960251739,0,0
5822,L53001,L,301.3,311.1,1303,49.2,212,0,0,0,0,0,9.800000000000011,64107.600000000006,0.1625766871165644,13590811.2,1.0325257218718886,0,1
6221,L53400,L,301.1,310.8,1470,49.3,116,0,0,0,0,0,9.699999999999989,72471.0,0.0788579197824609,8406636.0,1.0322152108933909,0,1
3027,M17886,M,300.4,309.5,1888,21.9,221,0,0,0,0,0,9.100000000000025,41347.2,0.1169931180518793,9137731.2,1.0302929427430094,0,0
7974,L55153,L,301.1,312.3,1682,29.7,83,0,0,0,0,0,11.199999999999989,49955.4,0.0493166963755199,4146298.2,1.0371969445366986,0,0
3917,L51096,L,302.6,311.6,1453,37.0,135,0,0,0,0,0,9.0,53761.0,0.092847317744154,7257735.0,1.0297422339722406,0,0
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,10.100000000000025,44396.1,0.0836980306345733,6792603.3,1.0338471849865951,0,0
8705,L55884,L,297.1,308.5,1425,40.0,35,0,0,0,0,0,11.399999999999975,57000.0,0.0245441795231416,1995000.0,1.038370918882531,0,0
4112,M18971,M,302.0,310.6,1563,41.0,184,0,0,0,0,0,8.600000000000023,64083.0,0.1176470588235294,11791272.0,1.028476821192053,0,1
4232,L51411,L,302.2,310.8,1340,47.8,54,0,0,0,0,0,8.600000000000023,64051.99999999999,0.0402684563758389,3458807.9999999995,1.028457974851092,0,0
7885,L55064,L,300.8,312.4,1465,59.1,91,0,0,1,0,0,11.599999999999966,86581.5,0.0620736698499317,7878916.5,1.038563829787234,1,1
872,L48051,L,295.8,306.4,1339,53.2,67,0,0,0,0,0,10.599999999999966,71234.8,0.05,4772731.600000001,1.035835023664638,0,1
6751,M21610,M,301.7,311.0,1505,44.0,187,0,0,0,0,0,9.300000000000011,66220.0,0.1241699867197875,12383140.0,1.0308253231687108,0,1
5954,M20813,M,300.7,310.9,1486,38.9,106,0,0,0,0,0,10.199999999999989,57805.4,0.0712844653665097,6127372.4,1.0339208513468574,0,0
4382,L51561,L,301.9,309.6,1446,43.2,225,0,0,0,0,0,7.700000000000045,62467.2,0.1554941257774706,14055120.000000002,1.0255051341503811,0,1
3641,H33054,H,302.4,311.6,1544,39.1,70,0,0,0,0,0,9.200000000000044,60370.4,0.0453074433656957,4225928.0,1.030423280423281,0,0
9838,M24697,M,298.4,309.3,1355,50.6,8,0,0,0,0,0,10.900000000000034,68563.0,0.0058997050147492,548504.0,1.0365281501340484,0,0
7622,L54801,L,300.5,311.5,1490,38.4,67,0,0,0,0,0,11.0,57216.0,0.044936284372904,3833472.0,1.0366056572379367,0,0
3978,M18837,M,302.2,311.3,1510,36.6,91,0,0,0,0,0,9.100000000000025,55266.0,0.0602250165453342,5029206.0,1.0301125082726672,0,0
5497,M20356,M,302.9,312.5,1924,24.0,17,0,0,0,0,0,9.600000000000025,46176.0,0.0088311688311688,784992.0,1.031693628260152,0,0
2791,L49970,L,300.4,309.6,1356,45.9,64,0,0,0,0,0,9.200000000000044,62240.4,0.0471628592483419,3983385.6,1.030625832223702,0,0
3133,L50312,L,300.1,309.5,1557,40.6,59,0,0,0,0,0,9.399999999999975,63214.2,0.0378690629011553,3729637.8,1.0313228923692102,0,0
2262,M17121,M,299.1,308.2,1435,45.2,45,0,0,0,0,0,9.099999999999966,64862.00000000001,0.0313370473537604,2918790.0000000005,1.0304246071547976,0,0
1427,M16286,M,298.7,309.7,1622,34.6,8,0,0,0,0,0,11.0,56121.2,0.0049291435613062,448969.6,1.0368262470706395,0,0
1734,L48913,L,298.4,308.0,1515,42.8,125,0,0,0,0,0,9.600000000000025,64841.99999999999,0.0824538258575197,8105249.999999999,1.032171581769437,0,0
3081,M17940,M,299.9,309.2,1539,43.2,132,0,0,0,0,0,9.300000000000011,66484.8,0.0857142857142857,8775993.6,1.0310103367789265,0,0
6539,L53718,L,301.4,310.7,1487,44.6,88,0,0,0,0,0,9.300000000000011,66320.2,0.0591397849462365,5836177.6,1.03085600530856,0,0
8024,H37437,H,300.9,312.0,1397,42.7,212,0,0,0,0,0,11.100000000000025,59651.9,0.1516452074391988,12646202.8,1.036889332003988,0,1
7226,M22085,M,299.8,309.7,1910,21.8,141,0,0,0,0,0,9.899999999999975,41638.0,0.0737833594976452,5870958.0,1.0330220146764508,0,0
3837,L51016,L,302.4,311.2,1466,43.9,152,0,0,0,0,0,8.800000000000011,64357.4,0.1036128152692569,9782324.8,1.029100529100529,0,0
5449,L52628,L,303.0,312.7,1551,41.8,111,0,0,0,0,0,9.699999999999989,64831.8,0.071520618556701,7196329.8,1.032013201320132,0,0
6435,M21294,M,300.3,309.9,1494,38.5,33,0,0,0,0,0,9.599999999999966,57519.0,0.0220735785953177,1898127.0,1.0319680319680318,0,0
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,10.300000000000011,70884.0,0.0635031402651779,6450444.0,1.0345289976533691,0,1
562,M15421,M,297.5,309.4,1678,34.4,148,0,0,0,0,0,11.899999999999975,57723.2,0.0881477069684335,8543033.6,1.0399999999999998,0,0
9175,L56354,L,297.8,308.9,1871,25.6,200,1,0,0,0,0,11.099999999999966,47897.600000000006,0.1068376068376068,9579520.000000002,1.037273337810611,1,1
4567,L51746,L,302.8,310.8,1402,50.5,30,0,0,0,0,0,8.0,70801.0,0.0213827512473271,2124030.0,1.0264200792602378,0,0
9026,L56205,L,297.5,308.4,1440,35.9,13,0,0,0,0,0,10.899999999999975,51696.0,0.0090215128383067,672048.0,1.0366386554621847,0,0
987,H30400,H,296.4,307.1,1638,32.5,146,0,0,0,0,0,10.700000000000044,53235.0,0.0890787065283709,7772310.0,1.0360998650472335,0,0
9745,L56924,L,298.8,310.1,1574,36.2,181,0,0,0,0,0,11.300000000000011,56978.8,0.1149206349206349,10313162.8,1.037817938420348,0,1
7875,L55054,L,300.7,312.3,1548,37.9,58,0,0,0,0,0,11.600000000000025,58669.2,0.0374435119431891,3402813.6,1.0385766544728967,0,0
3807,M18666,M,302.3,310.9,1360,44.0,67,0,1,0,0,0,8.599999999999966,59840.0,0.0492285084496693,4009280.0,1.0284485610320873,1,0
6708,L53887,L,301.3,310.6,1556,39.0,72,0,0,0,0,0,9.300000000000011,60684.0,0.0462427745664739,4369248.0,1.03086624626618,0,0
9802,M24661,M,298.4,309.3,1496,45.6,129,0,0,0,0,0,10.900000000000034,68217.6,0.0861723446893787,8800070.4,1.0365281501340484,0,0
1849,H31262,H,297.7,307.2,1429,44.1,26,0,0,0,0,0,9.5,63018.9,0.0181818181818181,1638491.4,1.0319113201209271,0,0
1917,L49096,L,298.0,307.7,1387,50.8,204,0,0,0,0,0,9.699999999999989,70459.59999999999,0.1469740634005763,14373758.4,1.0325503355704695,0,1
4967,L52146,L,303.8,312.6,1793,28.1,170,0,0,0,0,0,8.800000000000011,50383.3,0.0947603121516165,8565161.0,1.0289664252797894,0,0
3679,L50858,L,302.2,311.5,1567,33.1,168,0,0,0,0,0,9.300000000000011,51867.7,0.1071428571428571,8713773.600000001,1.0307743216412972,0,0
8359,L55538,L,298.7,309.7,1547,37.4,0,0,0,0,0,0,11.0,57857.8,0.0,0.0,1.0368262470706395,0,0
8752,M23611,M,297.4,308.5,1472,42.0,150,0,0,0,0,0,11.100000000000025,61824.0,0.1018329938900203,9273600.0,1.0373234700739746,0,1
7385,L54564,L,299.7,310.4,1614,36.2,108,0,0,0,0,0,10.699999999999989,58426.8,0.0668730650154798,6310094.4,1.0357023690357023,0,0
7253,H36666,H,300.2,310.4,1501,42.9,212,0,0,0,0,0,10.199999999999989,64392.9,0.1411451398135819,13651294.8,1.033977348434377,0,1
3418,L50597,L,301.6,310.6,1621,33.7,137,0,0,0,0,0,9.0,54627.7,0.0844636251541307,7483994.9,1.029840848806366,0,0
1430,M16289,M,298.9,310.0,1456,43.8,15,0,0,0,0,0,11.100000000000025,63772.8,0.0102951269732326,956592.0,1.0371361659417866,0,0
6439,L53618,L,300.4,310.0,1581,30.3,42,0,0,0,0,0,9.600000000000025,47904.3,0.0265486725663716,2011980.6,1.0319573901464714,0,0
7399,M22258,M,299.7,310.7,1498,37.8,146,0,0,0,0,0,11.0,56624.4,0.0973982655103402,8267162.399999999,1.0367033700367034,0,0
2748,L49927,L,299.7,309.2,1616,31.6,175,0,0,0,0,0,9.5,51065.600000000006,0.1082251082251082,8936480.000000002,1.0316983650316984,0,1
1665,L48844,L,298.2,308.0,1535,38.0,179,0,0,0,0,0,9.800000000000011,58330.0,0.1165364583333333,10441070.0,1.0328638497652582,0,1
2672,M17531,M,299.7,309.3,1399,41.9,221,1,0,0,0,0,9.600000000000025,58618.1,0.1578571428571428,12954600.1,1.0320320320320322,1,1
7685,M22544,M,300.7,311.8,1407,42.4,224,0,0,0,0,0,11.100000000000025,59656.8,0.1590909090909091,13363123.2,1.0369138676421683,0,1
4340,L51519,L,301.7,309.9,1524,46.6,104,0,0,0,0,0,8.199999999999989,71018.40000000001,0.0681967213114754,7385913.600000001,1.027179317202519,0,0
7606,H37019,H,300.4,311.3,2026,20.3,26,0,0,0,0,0,10.900000000000034,41127.8,0.0128268376911692,1069322.8,1.0362849533954728,0,0
2325,L49504,L,299.3,308.8,1636,29.9,201,0,0,0,0,0,9.5,48916.4,0.1227855833842394,9832196.4,1.0317407283661877,0,1
8992,M23851,M,297.3,308.0,1598,29.4,148,0,0,0,0,0,10.699999999999989,46981.2,0.0925578486554096,6953217.6,1.0359905819038009,0,0
8465,H37878,H,298.6,309.7,1672,27.5,54,0,0,0,0,0,11.099999999999966,45980.0,0.0322773460848774,2482920.0,1.037173476222371,0,0
8489,L55668,L,298.4,309.4,1385,43.2,119,0,0,0,0,0,11.0,59832.00000000001,0.0858585858585858,7120008.000000001,1.03686327077748,0,0
2701,L49880,L,299.9,309.3,1473,40.4,59,0,0,0,0,0,9.400000000000034,59509.2,0.0400271370420624,3511042.8,1.0313437812604205,0,0
6496,M21355,M,300.6,309.8,1694,31.1,187,0,0,0,0,0,9.199999999999989,52683.4,0.1103244837758112,9851795.8,1.0306054557551565,0,0
6277,L53456,L,301.2,310.8,1233,64.6,45,0,0,0,0,0,9.600000000000025,79651.79999999999,0.0364667747163695,3584330.9999999995,1.0318725099601591,0,1
3118,M17977,M,300.1,309.3,1469,43.9,20,0,0,0,0,0,9.199999999999989,64489.1,0.0136054421768707,1289782.0,1.0306564478507163,0,0
2548,L49727,L,299.2,309.1,1578,38.1,109,0,0,0,0,0,9.900000000000034,60121.8,0.0690310322989233,6553276.2,1.0330882352941178,0,0
2708,M17567,M,299.6,309.0,1539,36.1,76,0,0,0,0,0,9.399999999999975,55557.9,0.0493506493506493,4222400.4,1.0313751668891855,0,0
6433,M21292,M,300.3,309.9,1447,46.5,28,0,0,0,0,0,9.599999999999966,67285.5,0.0193370165745856,1883994.0,1.0319680319680318,0,0
2445,L49624,L,299.2,308.6,1267,68.2,76,0,0,1,0,0,9.400000000000034,86409.40000000001,0.0599369085173501,6567114.4,1.0314171122994653,1,0
3913,L51092,L,302.4,311.4,1475,40.4,126,0,0,0,0,0,9.0,59590.0,0.0853658536585365,7508340.0,1.0297619047619049,0,0
7987,L55166,L,301.1,312.3,1587,34.5,115,0,0,0,0,0,11.199999999999989,54751.5,0.0724181360201511,6296422.5,1.0371969445366986,0,0
8745,M23604,M,297.4,308.7,1798,23.0,135,0,0,0,0,0,11.300000000000011,41354.0,0.075041689827682,5582790.0,1.0379959650302624,0,0
1714,L48893,L,298.2,307.8,1515,46.7,74,0,0,0,0,0,9.600000000000025,70750.5,0.0488126649076517,5235537.0,1.0321931589537223,0,1
3911,L51090,L,302.4,311.4,1831,26.9,121,0,0,0,0,0,9.0,49253.9,0.0660480349344978,5959721.899999999,1.0297619047619049,0,0
2023,L49202,L,298.7,308.4,1373,46.9,60,0,0,0,0,0,9.699999999999989,64393.7,0.0436681222707423,3863622.0,1.0324740542350184,0,0
531,M15390,M,297.6,309.5,1709,32.2,65,0,0,0,0,0,11.899999999999975,55029.8,0.0380116959064327,3576937.0,1.0399865591397848,0,0
598,H30011,H,297.6,309.6,1428,46.6,13,0,0,0,0,0,12.0,66544.8,0.0090972708187543,865082.4,1.0403225806451613,0,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,10.5,63038.9,0.0203651685393258,1828128.1,1.03516409912927,0,0
4888,L52067,L,303.7,312.5,1481,33.3,182,0,0,0,0,0,8.800000000000011,49317.3,0.1228070175438596,8975748.6,1.0289759631215014,0,0
1304,L48483,L,298.7,309.9,1593,42.5,146,0,0,0,0,0,11.199999999999989,67702.5,0.0915934755332496,9884565.0,1.0374958151991964,0,1
5968,L53147,L,300.4,310.8,1390,52.5,144,0,0,0,0,0,10.400000000000034,72975.0,0.1035226455787203,10508400.0,1.0346205059920108,0,1
9373,L56552,L,297.7,308.4,1487,41.4,84,0,0,0,0,0,10.699999999999989,61561.8,0.0564516129032258,5171191.199999999,1.0359422237151494,0,0
7683,M22542,M,300.7,311.7,1412,49.1,219,0,0,0,0,0,11.0,69329.2,0.1549893842887473,15183094.8,1.0365813102760226,0,1
6803,M21662,M,301.1,310.7,1621,31.0,108,0,0,0,0,0,9.599999999999966,50251.0,0.0665844636251541,5427108.0,1.0318830953171705,0,0
2421,H31834,H,298.8,308.2,1450,44.7,14,0,0,0,0,0,9.399999999999975,64815.00000000001,0.0096485182632667,907410.0,1.0314591700133868,0,0
8601,L55780,L,297.5,308.3,1435,40.3,197,0,0,0,0,0,10.800000000000011,57830.49999999999,0.1371866295264624,11392608.499999998,1.0363025210084034,0,1
1450,H30863,H,299.0,310.4,1677,30.8,73,0,0,0,0,0,11.399999999999975,51651.6,0.0435041716328963,3770566.8,1.0381270903010034,0,0
2743,L49922,L,299.6,309.1,1369,51.4,164,0,0,0,0,0,9.5,70366.59999999999,0.1197080291970802,11540122.4,1.0317089452603472,0,1
7101,L54280,L,300.7,310.2,1569,32.8,31,0,0,0,0,0,9.5,51463.2,0.0197452229299363,1595359.2,1.0315929497838376,0,0
