UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_diff,power,wear_rate,energy_proxy,temp_ratio
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,0.019646365422396856,1595440.0,1.0354989953114533
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,0.027219701879455604,3134577.6,1.0354989953114533
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,0.03353658536585366,2688074.4,1.0354989953114533
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,0.03330970942593905,3021912.0,1.0351523267492468
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,71177.0,0.03825554705432287,3558850.0,1.034805890227577
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040.0,0.03368034292712799,2917200.0,1.0347942455670793
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001,0.04215116279069767,3405325.0000000005,1.0347942455670793
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999,0.043418332184700204,4092479.9999999995,1.035140562248996
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7,0.04108723135271808,3154885.5,1.0347942455670793
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,45180.6,0.038658328595793066,3072280.8,1.0347826086956522
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,58225.299999999996,0.04481434058898848,4075770.9999999995,1.0347826086956522
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3,0.03920515574650913,3165374.9000000004,1.0351170568561874
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,58968.0,0.0495703899537343,4422600.0,1.0347709796054831
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,44550.600000000006,0.04249448123620309,3430396.2000000007,1.0344366432631225
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,63603.8,0.05694444444444444,5215511.600000001,1.0344366432631225
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3,0.049586776859504134,4280581.2,1.0347826086956522
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,64539.8,0.06417910447761194,5550422.8,1.0347709796054831
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,45849.0,0.049471928849360754,4080561.0,1.0347826086956522
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,68537.7,0.06408450704225352,6236930.7,1.0347826086956522
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5,0.05582232893157263,5032462.5,1.0347942455670793
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,0.060897435897435896,5139243.5,1.034471218206158
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,70567.2,0.06744666207845836,6915585.6,1.034805890227577
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004,0.0638432364096081,5860292.7,1.0344596855135497
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,0.07222222222222222,5866515.2,1.034471218206158
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,0.07681159420289856,7411021.800000001,1.0344596855135497
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875.0,0.08216136195410807,7867125.0,1.034471218206158
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.799999999996,0.08290535583272193,6987332.399999999,1.034471218206158
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,69494.4,0.08400292184075968,7991855.999999999,1.034471218206158
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,67168.8,0.08546384222059898,7858749.600000001,1.034471218206158
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,66542.0,0.08739985433357611,7985040.0,1.034805890227577
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,69920.0,0.08486082824168364,8740000.0,1.034471218206158
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,73109.90000000001,0.08590604026845637,9358067.200000001,1.034471218206158
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,47549.4,0.07049891540130152,6181422.0,1.0344827586206897
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,65653.4,0.09372797744890768,8731902.2,1.034471218206158
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,76807.5,0.09467040673211781,10369012.5,1.034805890227577
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,62269.200000000004,0.09907997169143666,8717688.0,1.0344596855135497
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,13160.599999999999,0.04996505939902166,1881965.7999999998,1.0341251254600203
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,75926.7,0.10476878612716763,11009371.5,1.0341251254600203
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,65568.59999999999,0.09813084112149532,9638584.2,1.034136546184739
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,54931.5,0.0970625798212005,8349588.0,1.0344827586206897
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,50899.100000000006,0.09101654846335698,7838461.400000001,1.0344827586206897
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,61538.4,0.10310641110376735,9599990.4,1.034471218206158
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,62624.799999999996,0.10690121786197564,9894718.399999999,1.034471218206158
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,60973.899999999994,0.10568031704095113,9755824.0,1.034471218206158
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,48999.5,0.09747292418772563,7937919.0,1.034136546184739
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,74963.2,0.11965192168237854,12368928.0,1.034471218206158
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,73271.8,0.11979913916786226,12236390.6,1.034471218206158
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,60814.4,0.10608913998744507,10277633.6,1.034136546184739
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,41884.1,0.09398907103825137,7204065.2,1.034136546184739
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,46930.799999999996,0.09597352454495311,8165959.199999999,1.0337905654064905
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,58787.8,0.11614173228346457,10405440.6,1.0337792642140469
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,62869.4,0.12831541218637993,11253622.6,1.0337792642140469
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,48187.299999999996,0.10773809523809524,8721901.299999999,1.033456005352961
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,64650.6,0.125426039536469,11895710.4,1.03380187416332
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,49474.799999999996,0.12369109947643979,9350737.2,1.03380187416332
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,92637.0,0.13536498936924168,17693667.0,1.0337905654064905
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,43482.4,0.10025974025974026,8392103.200000001,1.0337905654064905
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,66066.0,0.1348933241569167,12948936.0,1.0341251254600203
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,60783.6,0.14452554744525548,12035152.799999999,1.0341251254600203
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,55720.0,0.12554927809165098,11144000.0,1.0337792642140469
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,51712.299999999996,0.12609238451935081,10445884.6,1.0337905654064905
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,64399.3,0.14782608695652175,13137457.200000001,1.03380187416332
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,69981.9,0.1409028727770178,14416271.399999999,1.03380187416332
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,60091.49999999999,0.14285714285714285,12499031.999999998,1.03380187416332
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,71997.0,0.0,0.0,1.03380187416332
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,53135.799999999996,0.0014255167498218105,106271.59999999999,1.03380187416332
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,72105.5,0.0027662517289073307,288422.0,1.033467202141901
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,68875.0,0.006202618883528601,619875.0,1.033456005352961
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,59282.399999999994,0.007565337001375516,652106.3999999999,1.033456005352961
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,58906.9,0.008843537414965987,765789.7000000001,1.0334448160535117
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,67687.2,0.010541110330288124,1015308.0,1.033456005352961
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,48347.200000000004,0.009418282548476454,821902.4,1.0334448160535117
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,63040.4,0.013917884481558803,1260808.0,1.0334448160535117
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,49099.200000000004,0.016181229773462782,1227480.0,1.0334448160535117
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,64138.8,0.019014084507042252,1731747.6,1.0334448160535117
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,58736.5,0.020161290322580645,1762095.0,1.033456005352961
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,45227.4,0.018814139110604332,1492504.2,1.033456005352961
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,45567.0,0.019115237575095576,1594845.0,1.033456005352961
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,46801.700000000004,0.02141203703703704,1731662.9000000001,1.033456005352961
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,62350.0,0.027567195037904894,2494000.0,1.033099297893681
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,51741.799999999996,0.025878003696857672,2173155.5999999996,1.0331103678929765
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,70522.2,0.03254437869822485,3102976.8,1.0334448160535117
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,55597.49999999999,0.02982233502538071,2613082.4999999995,1.0334448160535117
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,52325.0,0.028555111364934323,2616250.0,1.033456005352961
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,49998.3,0.034640522875816995,2649909.9000000004,1.0331214452994313
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,67621.2,0.03608923884514436,3719166.0,1.033467202141901
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,46300.0,0.03076092822450081,2639100.0,1.03380187416332
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,41213.7,0.02961847389558233,2431608.3,1.033467202141901
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,63133.0,0.03920308483290488,3851113.0,1.033467202141901
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,58360.5,0.043689320388349516,3676711.5,1.033467202141901
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,62930.0,0.04548587181254307,4153380.0,1.033132530120482
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,49480.100000000006,0.04271356783919598,3364646.8000000003,1.033132530120482
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,70082.5,0.048409405255878286,4905775.0,1.033132530120482
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,70059.59999999999,0.04806408544726302,5044291.199999999,1.033467202141901
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,53006.700000000004,0.04623921085080148,3975502.5000000005,1.0331214452994313
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,53605.200000000004,0.0508582326764145,4288416.0,1.0327868852459017
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,42120.0,0.04378003203416978,3453840.0,1.0327978580990629
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,65206.5,0.056,5477346.0,1.0331436223635757
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,59171.0,0.059372915276851235,5266219.0,1.033132530120482
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,62263.4,0.06186953597848016,5728232.8,1.0327978580990629
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,49392.0,0.05651397977394408,4692240.0,1.0327978580990629
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,65396.700000000004,0.06773743016759777,6343479.9,1.0327978580990629
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,53332.4,0.06325878594249201,5279907.600000001,1.0327868852459017
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,52767.0,0.063125,5329467.0,1.0327978580990629
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,47966.700000000004,0.06030444964871194,4940570.100000001,1.0327978580990629
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,59706.9,0.07220708446866485,6328931.4,1.032808838299297
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,64055.100000000006,0.07531380753138076,6917950.800000001,1.0327868852459017
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,64189.600000000006,0.07055805003207184,7060856.000000001,1.0327868852459017
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,66417.0,0.08543096872616324,7438704.0,1.0327759197324415
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,67096.4,0.07369101486748546,7648989.6,1.0327868852459017
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,50773.799999999996,0.06712962962962964,5889760.8,1.0327868852459017
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,50232.00000000001,0.07559256886611147,5927376.000000001,1.0324523251923723
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,80404.5,0.09022556390977443,9648540.0,1.0321070234113714
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,65704.5,0.08628005657708628,8015949.0,1.0324523251923723
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,61258.200000000004,0.07808564231738035,7596016.800000001,1.0321070234113714
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,53473.7,0.08076923076923077,6737686.199999999,1.0321177651388425
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,60540.3,0.08683853459972862,7749158.4,1.0321285140562249
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,48114.9,0.07479861910241657,6254937.0,1.0321285140562249
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,62251.200000000004,0.09153952843273232,8217158.4,1.0324740542350184
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,70928.0,0.09433962264150944,9575280.0,1.0324740542350184
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,72557.0,0.10072992700729927,10012866.0,1.0321285140562249
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,48763.5,0.08177570093457943,6826890.0,1.0324631860776439
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,64894.00000000001,0.10063335679099226,9279842.000000002,1.032808838299297
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,71724.09999999999,0.1140215716486903,10615166.799999999,1.0331436223635757
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,71580.59999999999,0.10344827586206896,10737089.999999998,1.0327978580990629
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,70754.4,0.12214342001576044,10966932.0,1.0327978580990629
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,54547.1,0.10383597883597884,8563894.7,1.0327978580990629
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,54348.8,0.1029126213592233,8641459.200000001,1.032808838299297
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,50139.6,0.09050028105677346,8072475.6,1.0328198258539851
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,71053.5,0.11647727272727272,11652774.0,1.0328198258539851
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,58978.4,0.12140804597701149,9967349.6,1.0328198258539851
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,50836.8,0.11360634081902246,8743929.6,1.0331658291457286
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,58193.200000000004,0.1078735275883447,10125616.8,1.0331658291457286
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,60751.5,0.11807387862796834,10874518.5,1.0335120643431635
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,66192.0,0.13115942028985508,11980752.0,1.0335232986925913
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,58772.7,0.1248303934871099,10814176.799999999,1.033176943699732
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,60719.4,0.13070976809557272,11293808.4,1.033176943699732
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,55008.8,0.1284153005464481,10341654.4,1.0328418230563003
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,64944.0,0.12050473186119874,12404304.0,1.0328418230563003
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,49950.0,0.10480821177741761,9690300.0,1.0328418230563003
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,55313.600000000006,0.12818835840418574,10841465.600000001,1.0328418230563003
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,39342.6,0.09959758551307847,7789834.8,1.0328418230563003
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,68770.0,0.1356951871657754,13960310.0,1.0325067024128687
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,64293.0,0.13928329952670723,13244358.0,1.0328418230563003
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,59960.0,0.14066666666666666,12651560.0,1.0328418230563003
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,69137.0,0.1453804347826087,14795318.0,1.0328418230563003
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,77817.40000000001,0.16835541699142634,16808558.400000002,1.0328418230563003
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,73847.59999999999,0.1542816702052371,16098776.799999999,1.0328528327187396
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,56303.0,0.0,0.0,1.0328528327187396
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,64298.399999999994,0.0013614703880190605,128596.79999999999,1.0328418230563003
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,62784.0,0.0034698126301179735,313920.0,1.0328308207705192
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,45058.0,0.00461361014994233,360464.0,1.0331658291457286
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,52551.200000000004,0.006199628022318661,525512.0,1.0328418230563003
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,62548.2,0.01028101439342015,938223.0,1.033176943699732
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,89275.9,0.01394700139470014,1785518.0,1.033176943699732
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,77893.8,0.016679302501895376,1713663.6,1.033176943699732
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,56350.0,0.0148975791433892,1352400.0,1.0328418230563003
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,74269.59999999999,0.01845522898154477,2005279.1999999997,1.0331991951710262
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,40019.200000000004,0.015064935064935066,1160556.8,1.033210332103321
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,53616.700000000004,0.020100502512562814,1715734.4000000001,1.0328638497652582
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,76139.8,0.026778882938026015,2664893.0,1.0331991951710262
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,60117.0,0.02675343456254519,2224329.0,1.0331991951710262
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,56144.600000000006,0.024088943792464484,2189639.4000000004,1.0331991951710262
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,42543.2,0.020613373554550025,1744271.2,1.0335345405767942
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,72087.2,0.029923451635351428,3099749.6,1.0335345405767942
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,64939.2,0.034482758620689655,2922264.0,1.0338698859825621
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,73602.5,0.03184281842818428,3459317.5,1.0338698859825621
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,44140.799999999996,0.02684931506849315,2162899.1999999997,1.0338698859825621
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,64550.200000000004,0.040208488458674606,3485710.8000000003,1.033881247903388
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,60439.50000000001,0.03835800807537012,3445051.5000000005,1.033881247903388
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,51010.200000000004,0.03537170263788969,3009601.8000000003,1.0335345405767942
